Title,Artist,Album 
Santa Clause Is Coming To Town,Shin Giwon Piano,Happy Christmas Jazz Instrumental Collection
S.I.M.P. (Squirrels in My Pants) (Vocal),2 Guys n the Parque,Disney Karaoke Series: Phineas and Ferb
Boo (Instrumental),IU,Growing Up
