Title,Artist,Album 
Cake By The Ocean,DNCE,DNCE
September,"Earth, Wind & Fire",September (sped up + slowed)
Road So Far,TonyZ,Road So Far
On the Way,Vlad Gluschenko,Flamingo
Sunroof,Nicky Youre;hey daisy,Good Times Go
Steal My Girl,One Direction,FOUR (Deluxe)
One Thing,One Direction,Up All Night
Girls Like You,Maroon 5,Red Pill Blues (Deluxe)
So What,P!nk,Funhouse (Expanded Edition)
"Honey, I'm Good",Andy Grammer,Magazines Or Novels
"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,TROLLS (Original Motion Picture Soundtrack)
Live While We're Young,One Direction,Take Me Home (Expanded Edition)
"Love Is All Around - From ""Four Weddings And A Funeral""",Wet Wet Wet,Picture This (20th Anniversary Edition)
Shut Up and Dance,WALK THE MOON,TALKING IS HARD (Expanded Edition)
Levitating (feat. DaBaby),Dua Lipa;DaBaby,Future Nostalgia
Black Magic,Little Mix,Get Weird (Expanded Edition)
Single Ladies (Put a Ring on It),Beyoncé,I AM...SASHA FIERCE - Platinum Edition
What Makes You Beautiful,One Direction,Up All Night
All About That Bass,Meghan Trainor,Title (Deluxe)
Timber,Pitbull;Kesha,Global Warming: Meltdown (Deluxe Version)
Born This Way,Lady Gaga,Born This Way (International Special Edition Version)
Come on over Baby (All I Want Is You) - Radio Version,Christina Aguilera,Christina Aguilera (Expanded Edition)
Love Story,Taylor Swift,Fearless (Big Machine Radio Release Special)
7 Years,Lukas Graham,Lukas Graham
Lego House,Ed Sheeran,+
Fearless (Taylor’s Version),Taylor Swift,Fearless (Taylor's Version)
The Archer,Taylor Swift,Lover
Lover,Taylor Swift,Lover
Cruel Summer - Live from TS | The Eras Tour,Taylor Swift,The Cruelest Summer
The Man,Taylor Swift,Lover
Ain't No Mountain High Enough,Marvin Gaye;Tammi Terrell,United
Stayin' Alive,Bee Gees,Staying Alive (Original Motion Picture Soundtrack)
Lemon Tree,Fools Garden,Dish of the Day
Innuendo - Remastered 2011,Queen,Innuendo (2011 Remaster)
I Was Born To Love You - 2011 Remaster,Queen,Made In Heaven (Deluxe Edition 2011 Remaster)
Another One Bites The Dust - Remastered 2011,Queen,The Game (2011 Remaster)
Cool Cat - Remastered 2011,Queen,Hot Space (2011 Remaster)
A Kind Of Magic - Remastered 2011,Queen,A Kind Of Magic (2011 Remaster)
Bohemian Rhapsody - Remastered 2011,Queen,A Night At The Opera (2011 Remaster)
"Danger Zone - From ""Top Gun"" Original Soundtrack",Kenny Loggins,"Yesterday, Today, Tomorrow - The Greatest Hits Of Kenny Loggins"
You Give Love A Bad Name,Bon Jovi,Slippery When Wet
Hey Jude - Remastered 2015,The Beatles,1 (Remastered)
Nothing's Gonna Stop Us Now,Starship,No Protection
Haunted (Taylor's Version),Taylor Swift,Speak Now (Taylor's Version)
Welcome To New York (Taylor's Version),Taylor Swift,1989 (Taylor's Version)
Dun Dun Dance,OH MY GIRL,Dear OHMYGIRL
Thinking out Loud,Ed Sheeran,x (Deluxe Edition)
Peru,Fireboy DML;Ed Sheeran,Peru
Tenerife Sea,Ed Sheeran,x (Deluxe Edition)
Castle on the Hill,Ed Sheeran,÷ (Deluxe)
River (feat. Ed Sheeran),Eminem;Ed Sheeran,Revival
I'm a Mess,Ed Sheeran,x (Deluxe Edition)
Photograph,Ed Sheeran,x (Deluxe Edition)
South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran;Camila Cabello;Cardi B,No.6 Collaborations Project
Overpass Graffiti,Ed Sheeran,=
I Don't Care (with Justin Bieber),Ed Sheeran & Justin Bieber;Justin Bieber,No.6 Collaborations Project
"You Need Me, I Don't Need You",Ed Sheeran,+
Shape of You,Ed Sheeran,÷ (Deluxe)
BLOW (with Chris Stapleton & Bruno Mars),Ed Sheeran;Chris Stapleton;Bruno Mars,No.6 Collaborations Project
Perfect,Ed Sheeran,÷ (Deluxe)
HANN (Alone),i-dle,HANN (Alone)
Get A Guitar,RIIZE,Get A Guitar
I DO,i-dle,I DO
Welcome To New York,Taylor Swift,1989
"Turandot, Act III: Nessun dorma!",Giacomo Puccini;Luciano Pavarotti;John Alldis Choir;Wandsworth School Boys Choir;London Philharmonic Orchestra;Zubin Mehta,Spirito Italiano
The Phantom Of The Opera,Andrew Lloyd Webber;Phantom Of The Opera Original London Cast;Michael Crawford;Sarah Brightman,The Phantom Of The Opera
22,Taylor Swift,Red (Deluxe Edition)
Blank Space,Taylor Swift,1989 (Deluxe)
Call Me Maybe,Carly Rae Jepsen,Kiss
Ocean Man,Ween,The Mollusk
Allergy,i-dle,I feel
With You,Dean Lewis,With You
Hai Yang Zhi Xin - A-Lin Version,A-Lin,Moana (Original Motion Picture Soundtrack/Deluxe Edition)
You're Welcome - Jordan Fisher/Lin-Manuel Miranda Version,Jordan Fisher;Disney;Lin-Manuel Miranda,Moana (Original Motion Picture Soundtrack)
Shiny,Jemaine Clement;Disney,Moana (Original Motion Picture Soundtrack/Deluxe Edition)
I Am Moana (Song of the Ancestors),Rachel House;Auli'i Cravalho;Disney,Moana (Original Motion Picture Soundtrack/Deluxe Edition)
"We Know The Way - From ""Moana""",Opetaia Foa'i;Lin-Manuel Miranda;Disney,"We Know The Way (From ""Moana"")"
"How Far I'll Go - From ""Moana""",Alessia Cara;Disney,"How Far I'll Go (From ""Moana"")"
"How Far I'll Go - From ""Moana""/Soundtrack Version",Auli'i Cravalho;Disney,"Disney Summer Songs , Vol. 2"
Logo Te Pate,Olivia Foa'i;Opetaia Foa'i;Talaga Steve Sale,Moana (Original Motion Picture Soundtrack)
We Know The Way,Opetaia Foa'i;Lin-Manuel Miranda;Disney,Moana (Original Motion Picture Soundtrack/Deluxe Edition)
Where You Are,Christopher Jackson;Rachel House;Nicole Scherzinger;Auli'i Cravalho;Louise Bush;Disney,Moana (Original Motion Picture Soundtrack)
You're Welcome,Dwayne Johnson;Disney,Moana (Original Motion Picture Soundtrack)
Paris in the Rain,Lauv,I met you when I was 18. (the playlist)
22 (Taylor's Version),Taylor Swift,Red (Taylor's Version)
Shake It Off,Taylor Swift,1989
The Best Damn Thing,Avril Lavigne,The Best Damn Thing
Deja Vu (Initial D),Tsuko G.,Deja Vu (Initial D)
Queencard,i-dle,I feel
Wish You Were Here,Avril Lavigne,Goodbye Lullaby
A Thousand Miles,Vanessa Carlton,Be Not Nobody
Middle Ground,Maroon 5,Middle Ground
Life Goes On (feat. Luke Combs),Ed Sheeran;Luke Combs,Life Goes On (feat. Luke Combs)
One More Night,Maroon 5,Overexposed Track By Track
Counting Stars,OneRepublic,Native
Viva La Vida,Coldplay,Viva La Vida or Death and All His Friends
Yellow,Coldplay,Parachutes
Again & Again,2PM,1:59PM
(′Cause) I′m Your Girl,S.E.S.,S.E.S. - The 1st Album
Nobody,Wonder Girls,The Wonder Years - Trilogy
Season of Memories,GFRIEND,Season of Memories
3am,ROSÉ,rosie
Shake It Off,Kurt Hugo Schneider;ATC,Shake It Off
See You Again,ATC,See You Again
Red,ATC,Red
Unwritten,Natasha Bedingfield,Unwritten
Bleeding Love,Leona Lewis,Spirit
Shape of My Heart,Backstreet Boys,Black & Blue
One Call Away,Charlie Puth,Nine Track Mind
Tick-Tock,Hans Zimmer,Interstellar (Original Motion Picture Soundtrack) [Expanded Edition]
Oh my god,i-dle,I trust
HANN (Alone in winter),i-dle,I burn
LATATA,i-dle,I am
HWAA,i-dle,I burn
Supernova,aespa,Armageddon - The 1st Album
Live My Life,aespa,Armageddon - The 1st Album
Small girl (feat. D.O.),Lee Young Ji;D.O.,16 Fantasy
Last Christmas,Ariana Grande,Christmas Kisses
Last Christmas,Taylor Swift,The Taylor Swift Holiday Collection
Santa Tell Me,Ariana Grande,Santa Tell Me
Cornfield Chase,Hans Zimmer,Interstellar (Original Motion Picture Soundtrack) [Expanded Edition]
MERRY X'MAS IN SUMMER [2022 Remaster],KUWATA BAND,Itsumo Dokokade
Don't Let Me Down - Illenium Remix,The Chainsmokers;Daya;ILLENIUM,Don't Let Me Down (Remixes)
Paris,The Chainsmokers,Memories...Do Not Open
I Want It That Way,Backstreet Boys,NKOTBSB
Stronger (What Doesn't Kill You),Kelly Clarkson,Stronger (Deluxe Version)
Hot N Cold,Katy Perry,One Of The Boys
I Knew You Were Trouble (Taylor's Version),Taylor Swift,Red (Taylor's Version)
Just Dance,Lady Gaga;Colby O'Donis,The Fame
Style,Taylor Swift,1989
Señorita,Shawn Mendes;Camila Cabello,Señorita
Sorry,Justin Bieber,Purpose (Deluxe)
Firework,Katy Perry,Teenage Dream
Blank Space,Taylor Swift,1989
We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth;Selena Gomez,Nine Track Mind
Baby,Justin Bieber;Ludacris,My World 2.0
a thousand years,Christina Perri,a thousand years
All Too Well,Taylor Swift,Red (Deluxe Edition)
See You Again (feat. Charlie Puth),Wiz Khalifa;Charlie Puth,See You Again (feat. Charlie Puth)
Mine,Taylor Swift,Speak Now (Deluxe Package)
HandClap,Fitz and The Tantrums,Fitz and The Tantrums (Deluxe Edition)
Worth It (feat. Kid Ink),Fifth Harmony;Kid Ink,Reflection (Deluxe)
Shallow,Lady Gaga;Bradley Cooper,A Star Is Born Soundtrack
7 rings,Ariana Grande,"thank u, next"
It's My Life,Bon Jovi,Bon Jovi Greatest Hits - The Ultimate Collection (Deluxe)
It's My Life,Bon Jovi,Crush
Life,Des'ree,Supernatural
Say No to This,Jasmine Cephas-Jones;Leslie Odom Jr.;Lin-Manuel Miranda;Sydney James Harcourt;Original Broadway Cast of Hamilton,Hamilton (Original Broadway Cast Recording)
When I Am Older,Josh Gad,Frozen 2 (Original Motion Picture Soundtrack/Deluxe Edition)
The Schuyler Sisters,Renée Elise Goldsberry;Phillipa Soo;Jasmine Cephas-Jones;Leslie Odom Jr.;Original Broadway Cast of Hamilton,Hamilton (Original Broadway Cast Recording)
Turn It Off,Scott Barnhardt;Justin Bohon;Jason Michael Snow;Kevin Duda;Josh Gad;Brian Sears;Rory O'Malley;Andrew Rannells;Benjamin Schrader;Clark Johnsen,The Book Of Mormon (Original Broadway Cast Recording)
The Tortured Poets Department,Taylor Swift,THE TORTURED POETS DEPARTMENT
Fortnight (feat. Post Malone),Taylor Swift;Post Malone,THE TORTURED POETS DEPARTMENT
Sincerely - osirasekita Remix,TRUE;osirasekita,CLUB Lantis presents Remix the Future
"Sincerely (From ""Violet Evergarden"")",Miura Jam,"Sincerely (From ""Violet Evergarden"")"
Beautiful Things,Benson Boone,Beautiful Things
Drama,aespa,Drama - The 4th Mini Album
Poker Face,Lady Gaga,The Fame
TiK ToK,Kesha,Animal (Expanded Edition)
Party In The U.S.A.,Miley Cyrus,The Time Of Our Lives (International Version)
One Last Time,Ariana Grande,My Everything (Deluxe)
Fireflies,Owl City,Ocean Eyes
"Hey, Soul Sister",Train,"Save Me, San Francisco (Golden Gate Edition)"
I Don’t Wanna Live Forever (Fifty Shades Darker),ZAYN;Taylor Swift,reputation Stadium Tour Surprise Song Playlist
So Am I,Ava Max,Heaven & Hell
Girls,aespa,Girls - The 2nd Mini Album
Wife,i-dle,2
Spicy,aespa,MY WORLD - The 3rd Mini Album
Everybody Hurts,Avril Lavigne,Goodbye Lullaby
Teenage Dream,Katy Perry,Teenage Dream: The Complete Confection
Dolphin,OH MY GIRL,NONSTOP
Try Everything,Shakira,Zootopia (Original Motion Picture Soundtrack)
You're Welcome,Dwayne Johnson,Moana (Original Motion Picture Soundtrack/Deluxe Edition)
"You've Got a Friend In Me - From ""Toy Story"" / Soundtrack",Randy Newman,Toy Story
How Far I'll Go,Auli'i Cravalho;Disney,Moana (Original Motion Picture Soundtrack/Deluxe Edition)
Do You Want To Build A Snowman?,Kristen Bell;Agatha Lee Monn;Katie Lopez,Frozen (Original Motion Picture Soundtrack)
"Let It Go - From ""Frozen""/Soundtrack Version",Idina Menzel,Frozen (Original Motion Picture Soundtrack/Deluxe Edition)
"I See the Light - From ""Tangled"" / Soundtrack Version",Mandy Moore;Zachary Levi,Tangled
Beauty and the Beast,Ariana Grande;John Legend,Beauty and the Beast (Original Motion Picture Soundtrack/Deluxe Edition)
