Title,Artist,Album 
Today is Gonna be a Great Day - Theme Song to Phineas and Ferb,Bowling For Soup,"Disney 2000s, Vol. 3: Disney Channel Theme Songs"
There's a Platypus Controlling Me,Dr. Doofenshmirtz,Phineas and Ferb: Across the 1st and 2nd Dimensions
Who's da King (all Hail King Julien Theme),Blaze n Vill,All Hail King Julien (Original Soundtrack)
I Like To Move It,will.i.am,Madagascar: Escape 2 Africa (Music From The Motion Picture)
Crazy,Gnarls Barkley;CeeLo Green;Danger Mouse,St. Elsewhere
On The Floor,Jennifer Lopez;Pitbull,Love?
Seven (feat. Latto) (Explicit Ver.),Jung Kook;Latto,GOLDEN
Kiss Me More (feat. SZA),Doja Cat;SZA,Planet Her
Somebody That I Used To Know,Gotye;Kimbra,Making Mirrors
Don't Wanna Know (feat. Kendrick Lamar),Maroon 5;Kendrick Lamar,Red Pill Blues (Deluxe)
Banri no Kawa,CHAGE and ASKA,Neppu
Domingo SNL,Aich-I,Domingo SNL
"He cheated on me, but I still like you.",Riria.,"He cheated on me, but I still like you."
Love Me Like This,NMIXX,expérgo
Girls Never Die,tripleS,<ASSEMBLE24>
DICE,NMIXX,ENTWURF
Radio (Dum-Dum),YUQI,Radio (Dum-Dum)
DRIP,BABYMONSTER,DRIP
Flowers,Miley Cyrus,Endless Summer Vacation
Cheap Thrills (feat. Sean Paul),Sia;Sean Paul,This Is Acting (Deluxe Version)
The Fox (What Does the Fox Say?),Ylvis,The Fox (What Does the Fox Say?)
I Really Want to Stay at Your House,Samuel Kim;Lorien,I Really Want to Stay at Your House
Way Back Home,SHAUN,Take
TOMBOY,i-dle,I NEVER DIE
Klaxon,i-dle,Klaxon
BALALAIKA,9Lana,DOLL
when the party's over,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?"
lovely (with Khalid),Billie Eilish;Khalid,lovely (with Khalid)
Please Me,Cardi B;Bruno Mars,Please Me
bad guy,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?"
Aimai,9Lana,Aimai
Panorama,IZ*ONE,One-reeler / Act IV
Maria,Kim Ah Joong,202 Pounds Beauty OST
Wake Me Up,Avicii,True
Катюша,The Red Army Choir,"Антология, Часть №4"
A Song of Ice and Fire,Ramin Djawadi,Game Of Thrones: Season 8 (Music from the HBO Series)
Say Something (feat. Chris Stapleton),Justin Timberlake;Chris Stapleton,Man of the Woods
Memory,"Andrew Lloyd Webber;""Cats"" 1983 Broadway Cast;Cynthia Onrubia;Betty Buckley",Cats (Original Broadway Cast Recording / 1983)
"Take Me Home, Country Roads",John Denver,"The John Denver Collection, Vol 1: Take Me Home Country Roads"
Heather,Conan Gray,Kid Krow
Cups (Pitch Perfect’s “When I’m Gone”) - Pop Version,Anna Kendrick,Cups (Pitch Perfect’s “When I’m Gone”)
We Are Never Ever Getting Back Together (Taylor's Version),Taylor Swift,Red (Taylor's Version)
Burst The Gravity,Altima,Burst The Gravity
Fight 4 Real,Altima,Fight 4 Real
Golden,HUNTR/X;EJAE;AUDREY NUNA;REI AMI;KPop Demon Hunters Cast,Golden (from the Netflix film KPop Demon Hunters)
Golden,HUNTR/X;EJAE;AUDREY NUNA;REI AMI;KPop Demon Hunters Cast,KPop Demon Hunters (Soundtrack from the Netflix Film)
Billie Jean,Michael Jackson,Thriller
I Want You,Savage Garden,Savage Garden
It's a Beautiful Day,Michael Bublé,To Be Loved
Sucker,Jonas Brothers,Happiness Begins
Something Just Like This,The Chainsmokers;Coldplay,Something Just Like This
Titanium (feat. Sia),David Guetta;Sia,Nothing but the Beat (Ultimate Edition)
Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),Shakira;Freshlyground,Summer Party Anthems
Shake It Off,Taylor Swift,1989 (Deluxe)
Secret Love Song (feat. Jason Derulo),Little Mix;Jason Derulo,Get Weird (Expanded Edition)
Whistle,Flo Rida,Wild Ones
Rock Your Body,Justin Timberlake,Justified
SexyBack (feat. Timbaland),Justin Timberlake;Timbaland,FutureSex/LoveSounds
We Are The Champions - Remastered 2011,Queen,News Of The World (2011 Remaster)
We Will Rock You - Remastered 2011,Queen,The Platinum Collection (2011 Remaster)
Roar,Katy Perry,PRISM
You're No Good,Linda Ronstadt,Heart Like A Wheel
It's so Easy,Linda Ronstadt,Simple Dreams
Not Out,Dragon Pony,Not Out
Under Pressure - Remastered 2011,Queen;David Bowie,Hot Space (2011 Remaster)
Cecilia,Simon & Garfunkel,Bridge Over Troubled Water
Ordinary,Alex Warren,Ordinary
I Ain't Worried,OneRepublic,"I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")"
Hall of Fame (feat. will.i.am),The Script;will.i.am,Hall of Fame
Iris,The Goo Goo Dolls,Stay with You
What I Want (feat. Tate McRae),Morgan Wallen;Tate McRae,I’m The Problem
Espresso,Sabrina Carpenter,Short n' Sweet
I'll Be Waiting,Cian Ducrot,Victory
I'll Be Waiting,Cian Ducrot,I'll Be Waiting
WILDFLOWER,Billie Eilish,HIT ME HARD AND SOFT
undressed,sombr,undressed
BIRDS OF A FEATHER,Billie Eilish,HIT ME HARD AND SOFT
Die With A Smile,Lady Gaga;Bruno Mars,MAYHEM
I Want It That Way,Backstreet Boys,Millennium
Azisai,Kyanai,Hoshiwokoete
Numb Little Bug - Piano Version,Em Beihold,Numb Little Bug (Piano Version)
Fallin' All In You,Shawn Mendes,Shawn Mendes
Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),Martin Garrix;Macklemore;Fall Out Boy,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy)
Told You So,Martin Garrix;Jex,Told You So
Scared to Be Lonely,Martin Garrix;Dua Lipa,Scared to Be Lonely
In the Name of Love,Martin Garrix;Bebe Rexha,In the Name of Love
Beautiful Now,Zedd;Jon Bellion,True Colors
Clarity,Zedd;Foxes,Clarity
The Middle,Zedd;Maren Morris;Grey,The Middle
Dangerously,Charlie Puth,Nine Track Mind (Special Edition)
Light Switch,Charlie Puth,CHARLIE
Cheating on You,Charlie Puth,Cheating on You
Marvin Gaye (feat. Wale) - Remix,Charlie Puth;Wale,Nine Track Mind (Special Edition)
How Long,Charlie Puth,Voicenotes
One Call Away,Charlie Puth,Nine Track Mind (Special Edition)
Attention,Charlie Puth,Voicenotes
History,One Direction,Made In The A.M. (Deluxe Edition)
Somebody,Bryan Adams,Reckless (30th Anniversary / Deluxe Edition)
When You're Gone,Bryan Adams;Melanie C,On A Day Like Today
"Have You Ever Really Loved A Woman? - From ""Don Juan DeMarco"" Soundtrack",Bryan Adams,18 Til I Die
(Everything I Do) I Do It For You,Bryan Adams,Waking Up The Neighbours
Heaven,Bryan Adams,Reckless (30th Anniversary / Deluxe Edition)
Summer Of '69,Bryan Adams,Reckless (30th Anniversary / Deluxe Edition)
Regent's Park,Bruno Major,To Let A Good Thing Die
"Take Me Home, Country Roads (Original Version) [Remastered]",John Denver,Pure... Country
sukidakara,mihoyana;exSyle,sukidakara
LA･LA･LA LOVE SONG,Toshinobu Kubota;Naomi Campbell,LA･LA･LA LOVE THANG
Brown Eyes,Destiny's Child,Survivor
Coffee,beabadoobee,Coffee
Right Here Waiting,Richard Marx,Stories To Tell
Right Here Waiting,Richard Marx,Repeat Offender
Too Much Heaven,Bee Gees,Spirits Having Flown
Love Me Like You Do,Ellie Goulding,Fifty Shades Freed (Original Motion Picture Soundtrack)
You Should Be Dancing,Bee Gees,Children Of The World
More Than A Woman,Bee Gees,Greatest
"Stayin' Alive - From ""Saturday Night Fever"" Soundtrack",Bee Gees,Greatest
How Deep Is Your Love,Bee Gees,Greatest
Stay,Zedd;Alessia Cara,Stay
Block me out,Gracie Abrams,Good Riddance (Deluxe)
Astronomy,Conan Gray,Superache
Espresso,Sabrina Carpenter,Espresso
Style,Taylor Swift,1989 (Deluxe)
You Are The Reason,Calum Scott,Only Human (Deluxe)
STAY (with Justin Bieber),The Kid LAROI;Justin Bieber,STAY (with Justin Bieber)
Talking to the Moon,Bruno Mars,Doo-Wops & Hooligans
Nonsense,Sabrina Carpenter,emails i can't send
We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth;Selena Gomez,Nine Track Mind (Special Edition)
"Rock Me - Live Version from The Motion Picture ""One Direction: This Is Us""",One Direction,Midnight Memories
Gotta Be You,One Direction,Up All Night
Best Song Ever,One Direction,Midnight Memories (Deluxe)
"10,000 Hours (with Justin Bieber)",Dan + Shay;Justin Bieber,"10,000 Hours (with Justin Bieber)"
Despacito,Luis Fonsi;Daddy Yankee,VIDA
Tutu,Camilo;Pedro Capó,Por Primera Vez
ADMV,Maluma,ADMV
No Se Va,Morat,Balas Perdidas
Colgando en tus manos (con Marta Sánchez),Carlos Baute;Marta Sánchez,De mi puño y letra - Edicion Coleccionista
Rosas,La Oreja de Van Gogh,París
¡Corre!,Jesse & Joy,Soltando Al Perro
Besos En Guerra,Morat;Juanes,Balas Perdidas
Yo Te Amo,Chayanne,Simplemente
Un Año,Sebastian Yatra;Reik,FANTASÍA
Last Train Home,John Mayer,Sob Rock
New Light,John Mayer,Sob Rock
Slow Dancing in a Burning Room,John Mayer,Continuum
I Won't Give Up,Jason Mraz,Love Is a Four Letter Word
Lucky,Jason Mraz;Colbie Caillat,We Sing. We Dance. We Steal Things. (Bonus Tracks Version)
Right To Be Wrong,Joss Stone,Mind Body & Soul
Super Duper Love,Joss Stone,The Soul Sessions
Amor del Bueno,Reyli Barba,Reyli En La Luna
Close To You,Gracie Abrams,The Secret of Us (Deluxe)
Cool,Gracie Abrams,The Secret of Us (Deluxe)
Mess It Up,Gracie Abrams,Mess It Up
Why Why Why,Shawn Mendes,Shawn
Death Wish Love (From Twisters: The Album),Benson Boone,Death Wish Love (From Twisters: The Album)
Before You,Benson Boone,Before You
Cry,Benson Boone,Fireworks & Rollerblades
Pretty Slowly,Benson Boone,Pretty Slowly
Ghost Town,Benson Boone,Fireworks & Rollerblades
NIGHTS LIKE THESE,Benson Boone,Walk Me Home...
In The Stars,Benson Boone,Fireworks & Rollerblades
Slow It Down,Benson Boone,Fireworks & Rollerblades
Sorry I'm Here For Someone Else,Benson Boone,Sorry I'm Here For Someone Else
Sugar Sweet,Benson Boone,Sugar Sweet
Beautiful Things,Benson Boone,Fireworks & Rollerblades
Mystical Magical,Benson Boone,Mystical Magical
Shadow Of A Man,Lady Gaga,MAYHEM
Try,Caleb and Kelsey,Try
Better Together,Jack Johnson,In Between Dreams
Treat You Better,Shawn Mendes,Illuminate
Señorita,Shawn Mendes;Camila Cabello,Shawn Mendes (Deluxe)
Stitches,Shawn Mendes,Handwritten
Love Is Gone - Acoustic,SLANDER;Dylan Matthew,Love Is Gone (Acoustic)
This Love,Maroon 5,Songs About Jane: 10th Anniversary Edition
Try Everything,URock,Try Everything
Easy On Me,Adele,30
Like I'm Gonna Lose You (feat. John Legend),Meghan Trainor;John Legend,Title (Deluxe)
Love Yourself,Justin Bieber,Purpose (Deluxe)
Sunday Bloody Sunday - Remastered 2008,U2,War (Remastered)
Beautiful Day,U2,All That You Can't Leave Behind
Space Oddity - 2019 Mix,David Bowie,Space Oddity (2019 Mix)
Vertigo,U2,How To Dismantle An Atomic Bomb
One,U2,Achtung Baby (Deluxe Edition)
I Still Haven't Found What I'm Looking For,U2,The Joshua Tree (Super Deluxe)
With Or Without You,U2,The Joshua Tree (Super Deluxe)
Dusk Till Dawn (feat. Sia) - Radio Edit,ZAYN;Sia,Icarus Falls
Catch My Breath,Kelly Clarkson,Catch My Breath
Lonely Road (with Jelly Roll),mgk;Jelly Roll,Lonely Road (with Jelly Roll)
We Know The Way,Cheol-Kyu Lee;Opetaia Foa'i,Moana (Korean Original Motion Picture Soundtrack)
Sara,Starship,Knee Deep In The Hoopla
Dancing Queen,ABBA,Arrival
Good bye,HYOLYN,My Love From the Star Part 4
Back To December,Taylor Swift,Speak Now (Deluxe Package)
Two by Two,Andrew Rannells;Josh Gad;Rory O'Malley;Kevin Duda;Clark Johnsen;Justin Bohon;Brian Sears;Scott Barnhardt;Benjamin Schrader;Lewis Cleale,The Book Of Mormon (Original Broadway Cast Recording)
When You're Gone,Avril Lavigne,The Best Damn Thing (Expanded Edition)
Wish You Were Here,Avril Lavigne,Goodbye Lullaby (Expanded Edition)
What the Hell,Avril Lavigne,Goodbye Lullaby (Expanded Edition)
Girlfriend,Avril Lavigne,The Best Damn Thing (Expanded Edition)
cardigan,Taylor Swift,folklore
Hear me,i-dle,I am
Nxde (Steve Aoki Remix),i-dle;Steve Aoki,Nxde (Steve Aoki Remix)
You and I,MIYEON,"My Sibling's Romance (Original Television Soundtrack, Pt. 2)"
Paradise,i-dle,I feel
I Want That,i-dle,HEAT
Neverland,i-dle,I SWAY
APT.,ROSÉ;Bruno Mars,APT.
"He's a Pirate - From ""Pirates of the Caribbean: The Curse Of the Black Pearl""/Score",Hans Zimmer;Klaus Badelt;Geoffrey Zanelli,Cinematic Autumn: Iconic Soundtracks
Day One (Interstellar Theme),Hans Zimmer,Interstellar (Original Motion Picture Soundtrack) [Expanded Edition]
Now We Are Free,Hans Zimmer;Klaus Badelt;Lisa Gerrard;Gavin Greenaway;The Lyndhurst Orchestra,Gladiator: 20th Anniversary Edition
How Long Will I Love You,Ellie Goulding,Halcyon Nights
Cheap Thrills,Sia,This Is Acting
Chandelier,Sia,1000 Forms Of Fear
Kings & Queens,Ava Max,Heaven & Hell
Sweet but Psycho,Ava Max,Heaven & Hell
Whatever,Kygo;Ava Max,KYGO
Cry Baby,Clean Bandit;Anne-Marie;David Guetta,Cry Baby
FRIENDS,Marshmello;Anne-Marie,FRIENDS
Rewrite The Stars (with James Arthur & Anne-Marie),James Arthur;Anne-Marie,Rewrite The Stars (with James Arthur & Anne-Marie)
Feel Good (with Daya),Gryffin;ILLENIUM;Daya,Feel Good (with Daya)
Ours (Taylor’s Version),Taylor Swift,Speak Now (Taylor's Version)
Anti-Hero,Taylor Swift,Midnights (3am Edition)
Bad Blood,Taylor Swift,1989
invisible string,Taylor Swift,folklore (deluxe version)
...Ready For It?,Taylor Swift,reputation
You Belong With Me (Taylor’s Version),Taylor Swift,Fearless (Taylor's Version)
You Need To Calm Down,Taylor Swift,Lover
Snow On The Beach (feat. More Lana Del Rey),Taylor Swift;Lana Del Rey,Midnights (The Til Dawn Edition)
Beatbox,NCT DREAM,Beatbox - The 2nd Album Repackage
Nxde,i-dle,I love
I'm Yours,Jason Mraz,We Sing. We Dance. We Steal Things. (Bonus Tracks Version)
"Take Me Home, Country Roads",Yuji Nomi,Whisper of the Heart Image Album
I Knew You Were Trouble.,Taylor Swift,Red (Big Machine Radio Release Special)
"10,000 Hours (with Justin Bieber)",Dan + Shay;Justin Bieber,Good Things
Something Just Like This,The Chainsmokers;Coldplay,Memories...Do Not Open
Tunak Tunak Tun (Remix) (feat. Daler Mehndi),Todiefor;Daler Mehndi,Tunak Tunak Tun (Remix) (feat. Daler Mehndi)
