Title,Artist,Album,TrackURI
Merry Christmas Mr. Lawrence - Version for Piano Trio,坂本龍一;Jaques Morelenbaum;Everton Nelson,1996,spotify:track:5VuwAhMCz9EMg3RHL1KUEr
神様のダンス,ヨルシカ,エルマ,spotify:track:01mOJXQ2RVOODY6SFIXPKA
Rich Girl,Gwen Stefani;Eve,Love Angel Music Baby,spotify:track:39qcvV4f0uqDMHxIkSb7tE
いいの,UniteUp!;KIKUNOYU,いいの,spotify:track:6zYa0HNDUEjGtZ5HnB5Cqr
紅蓮華 - From THE FIRST TAKE,LiSA,紅蓮華 - From THE FIRST TAKE,spotify:track:0XMFyImXb2N4b12xQoBkrD
僕が死のうと思ったのは - From THE FIRST TAKE,中島美嘉,僕が死のうと思ったのは - From THE FIRST TAKE,spotify:track:42gpqMK1oKf1Xq8DCGHGuF
創作,ヨルシカ,創作,spotify:track:1GURqvJ665JtnUp4UmFFm4
強盗と花束,ヨルシカ,創作,spotify:track:0mgABgKDsaSGnTOLcjlHWd
盗作,ヨルシカ,盗作,spotify:track:4NUDg0G6FgcfkxNUbYuOsU
思想犯,ヨルシカ,思想犯,spotify:track:6SNXEbIkap8lN8cuDdjXox
春ひさぎ,ヨルシカ,春ひさぎ,spotify:track:3opvzEeKvkWEKi0TV2ePbC
心に穴が空いた,ヨルシカ,心に穴が空いた,spotify:track:5aizlP42VrR8RBP7q4eh5n
パレード,ヨルシカ,パレード,spotify:track:1mcXApk7PDpUTdJDKdqc4e
靴の花火,ヨルシカ,夏草が邪魔をする,spotify:track:5mOOwyOGev9frlXm5NDEQy
飛行,ヨルシカ,夏草が邪魔をする,spotify:track:2BKnDjJA2uystZA6TciFVE
夏、バス停、君を待つ,ヨルシカ,負け犬にアンコールはいらない,spotify:track:2JpShP9hy9ZsuHTAG64EH2
冬眠,ヨルシカ,負け犬にアンコールはいらない,spotify:track:28QP3jpaBPGgKKH4x3y5Dg
準透明少年,ヨルシカ,負け犬にアンコールはいらない,spotify:track:7nj9JW6QQrholNi2R2lffN
負け犬にアンコールはいらない,ヨルシカ,負け犬にアンコールはいらない,spotify:track:1fooGB6yJLKiOk8jW3thn6
前世,ヨルシカ,負け犬にアンコールはいらない,spotify:track:5JjN98gJbp8qwYCX3cb0CE
都落ち,ヨルシカ,幻燈,spotify:track:3PPiVAQnUOQ2w0EcpxJhIK
そっけない,RADWIMPS,ANTI ANTI GENERATION,spotify:track:13oAUe55KzwcJBsjCmrPaq
family,世界末日,scent of memory,spotify:track:5MSi0XXAwILX2Y38zLEdw4
好きだから。,『ユイカ』,好きだから。,spotify:track:02xwA3Ej9NPetftp9V7VZ3
恋する図形 (cubic futurismo),上坂堇,No Future Vacances,spotify:track:2qlXEipOQbdlPXHQOMEdrV
逆夢,King Gnu,逆夢,spotify:track:6ZiEWet0uFRwWBCEKCQ8rY
Date,RADWIMPS,Your Name.,spotify:track:7A7lxMWZI2Uow7WqWjWGcM
Theme of Mitsuha,RADWIMPS,Your Name.,spotify:track:66HNv8qd9jr7q5P9nNTOOZ
ただ君に晴れ,ヨルシカ,負け犬にアンコールはいらない,spotify:track:3wJHCry960drNlAUGrJLmz
カーテンコール,Yuuri,カーテンコール,spotify:track:1nysdCpKAh6yif4JkmoiNy
Nandemonaiya - movie ver.,RADWIMPS,Your Name.,spotify:track:7dEfa89dZfo6CQPdsgGCF6
さよならエレジー,菅田 将暉,PLAY(Special Edition),spotify:track:3oYD2O31b05fILFpv0AXRI
花束,back number,スーパースター,spotify:track:3QIAwtEEDOrv0g5NKCGrXZ
声,ヨルシカ,エルマ,spotify:track:3GeXeP5GWHjTO5PXzl9dN0
森の教会,ヨルシカ,エルマ,spotify:track:3x5xoVNp8DDYjKKo13OFTV
可愛くてごめん,HoneyWorks;ちゅーたん(CV:早見沙織),可愛くてごめん,spotify:track:2xBibqkmXJ4NQCe8lJeZco
チキチキバンバン,QUEENDOM,チキチキバンバン,spotify:track:7xm0KJMfeaJQmQdDxAipiY
NIGHT DANCER,imase,POP CUBE,spotify:track:3gmn76fCtpDazGMnN0QMHX
Lemon,米津玄師,STRAY SHEEP,spotify:track:04TshWXkhV1qkqHzf31Hn6
一途,King Gnu,一途,spotify:track:7ncPjJBktLEOpstY5JOUMK
紅蓮華,LiSA,LEO-NiNE,spotify:track:0qMip0B2D4ePEjBJvAtYre
アイドル,YOASOBI,アイドル,spotify:track:7ovUcF5uHTBRzUpB6ZOmvt
DADDY ! DADDY ! DO !,鈴木雅之;鈴木愛理,All Time Rock 'n' Roll,spotify:track:7tdBXBfqfXSWpMaMA8QaES
怪物,YOASOBI,怪物,spotify:track:06XQvnJb53SUYmlWIhUXUi
