Title,Artist,Album,TrackURI
The Feels,TWICE,Formula of Love: O+T=<3,spotify:track:308Ir17KlNdlrbVLHWhlLe
FANCY,TWICE,FANCY YOU,spotify:track:2qQpFbqqkLOGySgNK8wBXt
What is Love?,TWICE,Summer Nights,spotify:track:3zhbXKFjUDw40pTYyCgt1Y
Strategy (feat. Megan Thee Stallion),TWICE;Megan Thee Stallion,STRATEGY,spotify:track:5zQUndaoBtXJ10SsApqtvw
Strategy (from the Netflix film KPop Demon Hunters),TWICE,STRATEGY,spotify:track:22fSzde77hjB052Vo155LF
Off The Record,IVE,I'VE MINE,spotify:track:6TNx6kHZeVDByUNMVxkAfa
Kitsch,IVE,Kitsch,spotify:track:4hbU7BVioG3WnoRNEy5YUf
REBEL HEART,IVE,REBEL HEART,spotify:track:0qdPpfbrgdBs6ie9bTtQ1d
Lion Heart,Girls' Generation,Lion Heart - The 5th Album,spotify:track:405SQUJdQut02dxtuQ0CZ3
Left and Right (Feat. Jung Kook of BTS),Charlie Puth;Jung Kook;BTS,Left and Right (Feat. Jung Kook of BTS),spotify:track:0mBP9X2gPCuapvpZ7TGDk3
Shopper,IU,The Winning,spotify:track:1c6kkrWnpy68eYDfBdxNtF
SET ME FREE,TWICE,READY TO BE,spotify:track:4OtVQ2ZxS7yigIjGz5yKg1
Teddy Bear,STAYC,Teddy Bear,spotify:track:4kSDi21MeOoSvpZs6MveI9
Love wins all,IU,Love wins all,spotify:track:0djkJ3iAARXRCbfbwwVc3o
Celebrity,IU,Celebrity,spotify:track:4RewTiGEGoO7FWNZUmp1f4
Obliviate,IU,Modern Times,spotify:track:2RENeWPEosqVewFaHSNnjT
BBIBBI,IU,BBIBBI,spotify:track:4as4XEOR03oGm1STUKl6pa
Holssi,IU,The Winning,spotify:track:0UTtK6hregIBOsefavRI26
ELEVEN,IVE,ELEVEN,spotify:track:7n2FZQsaLb7ZRfRPfEeIvr
PLAYING WITH FIRE,BLACKPINK,SQUARE TWO,spotify:track:7e7VjLxO5xJINHvnRytrqi
I CAN'T STOP ME,TWICE,Eyes Wide Open,spotify:track:37ZtpRBkHcaq6hHy0X98zn
SNEAKERS,ITZY,CHECKMATE,spotify:track:2WoluqyWzsgRmFCeHeGlnm
After LIKE,IVE,After LIKE,spotify:track:2gYj9lubBorOPIVWsTXugG
Queendom,Red Velvet,Queendom - The 6th Mini Album,spotify:track:6SpPr7K4YQ2wp8jU6uOTmQ
Hype Boy,NewJeans,NewJeans 1st EP 'New Jeans',spotify:track:0a4MMyCrzT0En247IhqZbD
Feel My Rhythm,Red Velvet,‘The ReVe Festival 2022 - Feel My Rhythm’,spotify:track:2oBMZYteeO8DyXV9gDx6Za
RUN2U,STAYC,YOUNG-LUV.COM,spotify:track:3gFcGnU4kTdMYLXDjH1TK8
BEAUTIFUL MONSTER,STAYC,WE NEED LOVE,spotify:track:56s2s5e8WuBsWVKnmz6J9L
Bubble,STAYC,TEENFRESH,spotify:track:4P5ozkI1bxiGxA5rZ27jlO
Perfect Night,LE SSERAFIM,Perfect Night,spotify:track:74X2u8JMVooG2QbjRxXwR8
MOONLIGHT SUNRISE,TWICE,READY TO BE,spotify:track:5IN9W6eUfk3014My9awagX
Lovesick Girls,BLACKPINK,THE ALBUM,spotify:track:0u5FYJWJLcLzSN9S1Wb2ag
CAKE,ITZY,KILL MY DOUBT,spotify:track:3syxwxJqX5jpgjNYmvzdW6
Give Love,AKMU,PLAY,spotify:track:2A3ShNautqXezP1lFDePwa
People Pt.2 (feat. IU),Agust D;IU,D-DAY,spotify:track:41JPN7pZMTp1sumBOHOzHd
I AM,IVE,I've IVE,spotify:track:70t7Q6AYG6ZgTYmJWcnkUM
ANTIFRAGILE,LE SSERAFIM,UNFORGIVEN,spotify:track:0bMoNdAnxNR0OuQbGDovrr
Super Shy,NewJeans,NewJeans 'Super Shy',spotify:track:5sdQOyqq2IDhvmx2lHOpwd
UNFORGIVEN (feat. Nile Rodgers),LE SSERAFIM;Nile Rodgers,UNFORGIVEN,spotify:track:51vRumtqbkNW9wrKfESwfu
FEARLESS,LE SSERAFIM,FEARLESS,spotify:track:296nXCOv97WJNRWzIBQnoj
Ditto,NewJeans,Ditto,spotify:track:3r8RuvgbX9s7ammBn07D3W
Red Flavor,Red Velvet,The Red Summer - Summer Mini Album,spotify:track:7nKQ5WAcjnG48knyLuo8gO
Kill This Love,BLACKPINK,Kill This Love,spotify:track:5GK7eDDTVz7CTge1wJrDQW
Pink Venom,BLACKPINK,BORN PINK,spotify:track:5P3o95Jf0YBQRQ4j2XPpfC
OMG,NewJeans,NewJeans 'OMG',spotify:track:65FftemJ1DbbZ45DUfHJXE
ATTITUDE,IVE,IVE EMPATHY,spotify:track:49oOgXKqm6xTavBtekzVHg
REBEL HEART,IVE,IVE EMPATHY,spotify:track:4qzV2qURSJBVV9d7BkMx4g
Thank U,IVE,IVE EMPATHY,spotify:track:5byscDL6SmZhKr8MbcoJcb
"무제(無題) (Untitled, 2014)",G-DRAGON,KWON JI YONG,spotify:track:16BS342F89MDqouSxgLaUK
Off The Record,IVE,Off The Record,spotify:track:3G7MgLuWLzUJQflWOCDZit
비밀번호 486,潤荷,고백하기 좋은 날,spotify:track:0GtnPY1LePGHquWzIEiqMj
CHEER UP,TWICE,PAGE TWO,spotify:track:7lB4rxNVc7vm33ZSZXVRAQ
Gangnam Style (강남스타일),PSY,Gangnam Style (강남스타일),spotify:track:03UrZgTINDqvnUMbbIMhql
Love wins all,IU,The Winning,spotify:track:53g7ZIvZE47H9pwXPFYMCH
"눈,코,입 (Eyes, Nose, Lips)",TAEYANG,RISE,spotify:track:0lYtIvI7bO51PZSeK22Mbz
Hold Me Back,Heize,"Queen of Tears (Original Television Soundtrack), Pt.3",spotify:track:69Bx1c9Hzv7IZGkLyFCeMw
내 맘을 볼 수 있나요,Heize,Hotel del Luna (Original Television Soundtrack) Pt.5,spotify:track:2oVHb8wyg6oC2iNpGBNvx1
Rain Drop,IU,Nitpicking,spotify:track:6tlMVCqZlmxfnjZt3OiHjE
잊어야 한다는 마음으로,Kim Kwang Seok,김광석 3번째 노래모음,spotify:track:67Yg0uYQB14o3gQ3RLwD7x
strawberry moon,IU,strawberry moon,spotify:track:2g0LdZQce9xlcHb1mBJyuz
Ah puh,IU,IU 5th Album 'LILAC',spotify:track:1IJxbEXfgiKuRx6oXMX87e
Troll (Feat. DEAN),IU;DEAN,IU 5th Album 'LILAC',spotify:track:64P4md3mdMM8Dog2aThmzj
Dreams in summer night,IU,A flower bookmark,spotify:track:08IZihEWj0fhBgF19DeZBj
above the time,IU,Love poem,spotify:track:2qKZnheMe0HhqYC1XJcdaA
Dear Name,IU,Palette,spotify:track:1DP0uwV6tMlCEfR61Mh7ki
Hi spring Bye,IU,IU 5th Album 'LILAC',spotify:track:2M7a2Us8CEU1HZHj70byGX
My old story,IU,A flower bookmark,spotify:track:2jDnaEpQI6xjahWZzeVyaM
Meaning of you,IU;Kim Chang-Wan,A flower bookmark,spotify:track:3ucfniv4fLB3RPA6N9iLM2
When love passes by,IU,A flower bookmark,spotify:track:2e9GsDKqjTGRbv6lI3mK9E
heart,IU,heart,spotify:track:5ktwBE88NKZSfmk6Lw2KhS
Bad Day,IU,Modern Times,spotify:track:0EqSyrpWl672SesSbx598X
Autumn morning,IU,가을 아침 [Gaeul Achim] : Autumn morning,spotify:track:100N8P8WYnz9eCYuLYGflV
lost child,IU,Lost and Found,spotify:track:1EzYoGGkr0azLsiq8svGSl
Black Out,IU,Palette,spotify:track:1sUOFqmIU38dQCA13aVKBL
Can't Love You Anymore (With OHHYUK),IU;OHHYUK,Palette,spotify:track:5MvxeZPiiLAuB5gI8k3ynk
Full Stop,IU,Palette,spotify:track:2HlvvNgav045pxmrG0mk11
eight(Prod.&Feat. SUGA of BTS),IU;SUGA,eight,spotify:track:0pYacDCZuRhcrwGUA5nTBe
Ending Scene,IU,Palette,spotify:track:06EMBzxDm2hueehobAlMtm
Lullaby,IU,Love poem,spotify:track:7BUtoP9NXEe7MgWvIG2KGE
